,pred,grid
181,0.0038956403732299805,1kmN3034E5021_14
182,0.0038956403732299805,1kmN3034E5021_21
183,0.0038956403732299805,1kmN3034E5021_22
184,0.0038956403732299805,1kmN3034E5021_23
185,0.0038956403732299805,1kmN3034E5021_24
186,0.0038956403732299805,1kmN3034E5021_31
187,0.0038956403732299805,1kmN3034E5021_32
188,0.0038956403732299805,1kmN3034E5021_33
189,0.0038956403732299805,1kmN3034E5021_34
190,0.0038956403732299805,1kmN3034E5021_41
191,0.0038956403732299805,1kmN3034E5021_42
192,0.0038956403732299805,1kmN3034E5021_43
193,0.0038956403732299805,1kmN3034E5021_44
194,0.0038956403732299805,1kmN3034E5022_11
195,0.0038956403732299805,1kmN3034E5022_12
196,0.0038956403732299805,1kmN3034E5022_13
197,0.0038956403732299805,1kmN3034E5022_14
198,0.0038956403732299805,1kmN3034E5022_21
199,0.0038956403732299805,1kmN3034E5022_24
200,0.0038956403732299805,1kmN3034E5022_31
201,0.0038956403732299805,1kmN3034E5022_32
202,0.0038956403732299805,1kmN3034E5022_33
203,0.0038956403732299805,1kmN3034E5022_34
204,0.0038956403732299805,1kmN3034E5022_41
205,0.0038956403732299805,1kmN3034E5022_42
206,0.0038956403732299805,1kmN3034E5022_43
207,0.0038956403732299805,1kmN3034E5022_44
208,0.0038956403732299805,1kmN3034E5023_11
209,0.0038956403732299805,1kmN3034E5023_12
210,0.0038956403732299805,1kmN3034E5023_13
211,0.0038956403732299805,1kmN3034E5023_14
212,0.0038956403732299805,1kmN3034E5023_21
213,0.0038956403732299805,1kmN3034E5023_24
214,0.026463806629180908,1kmN3034E5023_31
215,0.0038956403732299805,1kmN3034E5023_34
216,0.0038956403732299805,1kmN3034E5023_41
217,0.0038956403732299805,1kmN3034E5023_42
218,0.0038956403732299805,1kmN3034E5023_43
219,0.0038956403732299805,1kmN3034E5023_44
220,0.0038956403732299805,1kmN3034E5024_11
221,0.0038956403732299805,1kmN3034E5024_12
222,0.0038956403732299805,1kmN3034E5024_13
223,0.0038956403732299805,1kmN3034E5024_14
224,0.026463806629180908,1kmN3034E5024_21
225,0.0038956403732299805,1kmN3034E5024_24
226,0.0038956403732299805,1kmN3034E5024_31
227,0.0038956403732299805,1kmN3034E5024_34
228,0.0038956403732299805,1kmN3034E5024_41
229,0.0038956403732299805,1kmN3034E5024_42
