,eurogrid_0250_1,pred
957,1kmN3037E5024_43,0.36216596
961,1kmN3037E5025_13,0.29346198
963,1kmN3037E5025_21,0.38824233
964,1kmN3037E5025_22,0.29346198
974,1kmN3037E5025_44,0.29346198
976,1kmN3037E5026_12,0.29346198
977,1kmN3037E5026_13,0.29346198
979,1kmN3037E5026_21,0.46715912
980,1kmN3037E5026_22,0.47568065
981,1kmN3037E5026_23,0.46715912
982,1kmN3037E5026_24,0.47568065
983,1kmN3037E5026_31,0.30752933
984,1kmN3037E5026_32,0.47568065
985,1kmN3037E5026_33,0.47568065
986,1kmN3037E5026_34,0.38824233
988,1kmN3037E5026_42,0.29346198
992,1kmN3037E5027_12,1.2010357
995,1kmN3037E5027_21,1.9857653
996,1kmN3037E5027_22,1.6842908
997,1kmN3037E5027_23,1.8953582
1000,1kmN3037E5027_32,1.2883278
1001,1kmN3037E5027_33,1.2010357
1002,1kmN3037E5027_34,0.4785057
1007,1kmN3037E5028_11,1.8412826
1008,1kmN3037E5028_12,1.2634571
1009,1kmN3037E5028_13,1.4917777
1010,1kmN3037E5028_14,1.8412826
1011,1kmN3037E5028_21,1.4129422
1012,1kmN3037E5028_22,1.8518014
1013,1kmN3037E5028_23,1.9857653
1014,1kmN3037E5028_24,1.4997764
1015,1kmN3037E5028_31,1.4997764
1016,1kmN3037E5028_32,1.2634571
1017,1kmN3037E5028_33,0.4785057
1018,1kmN3037E5028_34,1.9857653
1019,1kmN3037E5028_41,1.5167445
1020,1kmN3037E5028_42,2.1019716
1021,1kmN3037E5028_43,2.1019716
1022,1kmN3037E5028_44,1.9481292
1023,1kmN3037E5029_11,1.6554569
1024,1kmN3037E5029_12,1.2883278
1025,1kmN3037E5029_13,1.0586662
1026,1kmN3037E5029_14,1.0106554
1027,1kmN3037E5029_21,1.4369872
1029,1kmN3037E5029_23,1.0280812
1030,1kmN3037E5029_24,0.54720974
1031,1kmN3037E5029_31,0.29346198
1032,1kmN3037E5029_32,1.0280812
1033,1kmN3037E5029_33,1.2010357
1034,1kmN3037E5029_34,0.4785057
1035,1kmN3037E5029_41,0.9272865
1036,1kmN3037E5029_42,1.6269361
1037,1kmN3037E5029_43,0.29346198
1038,1kmN3037E5029_44,1.4156547
1039,1kmN3037E5030_11,0.9489943
1040,1kmN3037E5030_12,0.29346198
1050,1kmN3037E5030_34,1.2883278
1051,1kmN3037E5030_41,0.4785057
1052,1kmN3037E5030_42,1.205394
1053,1kmN3037E5030_43,1.4129422
1054,1kmN3037E5030_44,0.9738651
1055,1kmN3037E5031_11,1.9528909
1056,1kmN3037E5031_12,2.075202
1057,1kmN3037E5031_13,2.1019716
1058,1kmN3037E5031_14,2.1019716
1059,1kmN3037E5031_21,1.9857653
1060,1kmN3037E5031_22,2.1019716
1061,1kmN3037E5031_23,1.9741125
1062,1kmN3037E5031_24,1.4997764
1063,1kmN3037E5031_31,1.4049436
1064,1kmN3037E5031_32,0.7549317
