"","eurogrid_0250_1","populacjaKobiet","procentDzieci","procentMieszkalnych","localConcentration","percentOfMean","WzrostZameldowania"
"168","1kmN3034E5029_23",0.5,0.26890756302521,0.65,0.000120626868493892,1.06124624021695,0.28741429939025
"169","1kmN3034E5029_24",0.471910112359551,0.162790697674419,0.862068965517241,0.000104325940319042,0.993393718387352,0.245555104447307
"170","1kmN3034E5029_31",0.506944444444444,0.165413533834586,0.808510638297872,0.000123887054128862,1.03275228089878,0.268827973829394
"171","1kmN3034E5029_32",0.543478260869565,0.271186440677966,0.835443037974684,0.000557491743579879,1.10572961555538,0.562909654731639
"172","1kmN3034E5029_33",0.525773195876289,0.25,0.923076923076923,0.000133667611033772,1.10675457812078,0.43740998097496
"173","1kmN3034E5029_34",0.575757575757576,0.142857142857143,0.470588235294118,0.0000260814850797604,1.01081808199918,0.252704520499795
"174","1kmN3034E5029_41",0.553072625698324,0.118012422360248,0.842857142857143,0.000166269467383473,1.08072052895958,0.268787370977531
"175","1kmN3034E5029_42",0.2,0,0.5,0.00000326018563497006,0.889257521742537,NA
"176","1kmN3034E5029_43",0.4,0,1,0.00000326018563497006,0.844159168864861,0.165459403017727
"177","1kmN3034E5029_44",0.538461538461538,0.333333333333333,0.666666666666667,0.0000130407425398802,1.17132721974109,0.358422871052146
"178","1kmN3034E5030_11",0,0,0.6,0.00000326018563497006,1.35623046653956,0.339057616634891
"179","1kmN3034E5030_12",0.277777777777778,0.176470588235294,1,0.0000260814850797604,1.19121149350989,0.327248632291567
"180","1kmN3034E5030_13",0.46078431372549,0.191489361702128,0.902439024390244,0.000117366682858922,1.17214718979341,0.31345630520192
